NPs;coresize;hydrosize;surfcharge;surfarea;Electric charge;Expotime;dosage;Energy-related feature;¹Oxygen;class
Al2O3;39.7;267;36.3;64.7;-1.51;24;0.001;22282;3;nonToxic
Al2O3;39.7;267;36.3;64.7;-1.51;24;0.01;22282;3;nonToxic
Al2O3;39.7;267;36.3;64.7;-1.51;24;0.1;22282;3;nonToxic
Al2O3;39.7;267;36.3;64.7;-1.51;24;1;22282;3;nonToxic
Al2O3;39.7;267;36.3;64.7;-1.51;24;5;22282;3;nonToxic
Al2O3;39.7;267;36.3;64.7;-1.51;24;10;22282;3;nonToxic
Al2O3;39.7;267;36.3;64.7;-1.51;24;20;22282;3;nonToxic
Al2O3;39.7;267;36.3;64.7;-1.51;24;50;22282;3;nonToxic
Al2O3;39.7;267;36.3;64.7;-1.51;24;100;22282;3;nonToxic
Al2O3;39.7;267;36.3;64.7;-1.51;12;0.001;22282;3;nonToxic
Al2O3;39.7;267;36.3;64.7;-1.51;12;0.01;22282;3;nonToxic
Al2O3;39.7;267;36.3;64.7;-1.51;12;0.1;22282;3;nonToxic
Al2O3;39.7;267;36.3;64.7;-1.51;12;1;22282;3;nonToxic
Al2O3;39.7;267;36.3;64.7;-1.51;12;5;22282;3;nonToxic
Al2O3;39.7;267;36.3;64.7;-1.51;12;10;22282;3;nonToxic
Al2O3;39.7;267;36.3;64.7;-1.51;12;20;22282;3;nonToxic
Al2O3;39.7;267;36.3;64.7;-1.51;12;50;22282;3;nonToxic
Al2O3;39.7;267;36.3;64.7;-1.51;12;100;22282;3;nonToxic
CuO;46.3;239;42.8;45315;-5.17;24;0.001;45536;1;nonToxic
CuO;46.3;239;42.8;45315;-5.17;24;0.01;45536;1;nonToxic
CuO;46.3;239;42.8;45315;-5.17;24;0.1;45536;1;nonToxic
CuO;46.3;239;42.8;45315;-5.17;24;1;45536;1;nonToxic
CuO;46.3;239;42.8;45315;-5.17;24;5;45536;1;nonToxic
CuO;46.3;239;42.8;45315;-5.17;24;10;45536;1;Toxic
CuO;46.3;239;42.8;45315;-5.17;24;20;45536;1;Toxic
CuO;46.3;239;42.8;45315;-5.17;24;50;45536;1;Toxic
CuO;46.3;239;42.8;45315;-5.17;24;100;45536;1;Toxic
CuO;46.3;239;42.8;45315;-5.17;12;0.001;45536;1;nonToxic
CuO;46.3;239;42.8;45315;-5.17;12;0.01;45536;1;nonToxic
CuO;46.3;239;42.8;45315;-5.17;12;0.1;45536;1;nonToxic
CuO;46.3;239;42.8;45315;-5.17;12;1;45536;1;nonToxic
CuO;46.3;239;42.8;45315;-5.17;12;5;45536;1;nonToxic
CuO;46.3;239;42.8;45315;-5.17;12;10;45536;1;nonToxic
CuO;46.3;239;42.8;45315;-5.17;12;20;45536;1;Toxic
CuO;46.3;239;42.8;45315;-5.17;12;50;45536;1;Toxic
CuO;46.3;239;42.8;45315;-5.17;12;100;45536;1;Toxic
Fe2O3;42.5;957;-8.2;82.8;-4.99;24;0.001;30317;3;nonToxic
Fe2O3;42.5;957;-8.2;82.8;-4.99;24;0.01;30317;3;nonToxic
Fe2O3;42.5;957;-8.2;82.8;-4.99;24;0.1;30317;3;nonToxic
Fe2O3;42.5;957;-8.2;82.8;-4.99;24;1;30317;3;nonToxic
Fe2O3;42.5;957;-8.2;82.8;-4.99;24;5;30317;3;nonToxic
Fe2O3;42.5;957;-8.2;82.8;-4.99;24;10;30317;3;nonToxic
Fe2O3;42.5;957;-8.2;82.8;-4.99;24;20;30317;3;nonToxic
Fe2O3;42.5;957;-8.2;82.8;-4.99;24;50;30317;3;nonToxic
Fe2O3;42.5;957;-8.2;82.8;-4.99;24;100;30317;3;nonToxic
Fe2O3;42.5;957;-8.2;82.8;-4.99;12;0.001;30317;3;nonToxic
Fe2O3;42.5;957;-8.2;82.8;-4.99;12;0.01;30317;3;nonToxic
Fe2O3;42.5;957;-8.2;82.8;-4.99;12;0.1;30317;3;nonToxic
Fe2O3;42.5;957;-8.2;82.8;-4.99;12;1;30317;3;nonToxic
Fe2O3;42.5;957;-8.2;82.8;-4.99;12;5;30317;3;nonToxic
Fe2O3;42.5;957;-8.2;82.8;-4.99;12;10;30317;3;nonToxic
Fe2O3;42.5;957;-8.2;82.8;-4.99;12;20;30317;3;nonToxic
Fe2O3;42.5;957;-8.2;82.8;-4.99;12;50;30317;3;nonToxic
Fe2O3;42.5;957;-8.2;82.8;-4.99;12;100;30317;3;nonToxic
TiO2;25;504.5;-10.7;210;-4.16;24;0.00001;19725;2;nonToxic
TiO2;25;504.5;-10.7;210;-4.16;24;20;19725;2;nonToxic
TiO2;25;504.5;-10.7;210;-4.16;24;40;19725;2;nonToxic
TiO2;25;504.5;-10.7;210;-4.16;24;60;19725;2;nonToxic
